Time [s],Gauge Pressure [cmH2O],Inspiratory differential pressure [cmH2O]
0,7.56,0.1
0.002686,7.6,0.1
0.005237,7.6,0.1
0.008407,7.6,0.1
0.010796,7.63,0.1
0.013309,7.63,0.1
0.015303,7.63,0.1
0.017376,7.63,0.1
0.019444,7.68,0.11
0.021424,7.68,0.1
0.023484,7.68,0.11
0.025453,7.68,0.1
0.027583,7.68,0.11
0.029623,7.68,0.1
0.031671,7.71,0.1
0.033763,7.68,0.1
0.036593,7.76,0.1
0.039104,7.71,0.1
0.041639,7.71,0.1
0.045427,7.76,0.1
0.047793,7.76,0.1
0.051583,7.71,0.1
0.054059,7.71,0.1
0.056602,7.71,0.1
0.060403,7.71,0.1
0.062897,7.71,0.11
0.066693,7.71,0.1
0.069291,7.71,0.1
0.071707,7.68,0.11
0.075508,7.68,0.11
0.078007,7.65,0.1
0.08181,7.65,0.11
0.084308,7.63,0.11
0.087053,7.63,0.11
0.090696,7.63,0.11
0.09319,7.63,0.11
0.095725,7.63,0.11
0.099514,7.6,0.11
0.102062,7.6,0.11
0.105799,7.6,0.11
0.10831,7.56,0.11
0.110825,7.53,0.11
0.114395,7.53,0.12
0.116906,7.5,0.12
0.120707,7.5,0.12
0.123203,7.47,0.12
0.125738,7.47,0.12
0.129494,7.45,0.12
0.132035,7.45,0.13
0.135827,7.41,0.13
0.138393,7.41,0.13
0.140904,7.41,0.13
0.144734,7.38,0.13
0.147261,7.35,0.13
0.149734,7.35,0.13
0.153534,7.35,0.14
0.156039,7.32,0.14
0.158569,7.32,0.15
0.162343,7.32,0.15
0.164857,7.27,0.15
0.168652,7.27,0.15
0.171171,7.24,0.16
0.173683,7.22,0.16
0.177467,7.24,0.16
0.180002,7.22,0.17
0.183795,7.19,0.18
0.186512,7.16,0.17
0.188898,7.16,0.18
0.192697,7.12,0.18
0.19519,7.12,0.19
0.197705,7.09,0.19
0.201603,7.09,0.2
0.204083,7.09,0.2
0.207827,7.09,0.2
0.21032,7.06,0.21
0.212837,7.09,0.22
0.216712,7.09,0.21
0.219288,7.09,0.21
0.221707,7.06,0.22
0.225472,7.06,0.22
0.228002,7.06,0.23
0.231809,7.06,0.23
0.234309,7.06,0.24
0.23684,7.06,0.24
0.240676,7.06,0.24
