Time [s],Gauge Pressure [cmH2O],Inspiratory differential pressure [cmH2O]
0,3.71,0.09
0.003076,3.68,0.09
0.006025,3.71,0.09
0.009795,3.68,0.09
0.012622,3.68,0.09
0.015629,3.68,0.09
0.017998,3.68,0.09
0.020265,3.68,0.09
0.02243,3.71,0.09
0.024618,3.68,0.09
0.026761,3.68,0.09
0.028853,3.68,0.09
0.030922,3.68,0.09
0.033043,3.68,0.09
0.035076,3.68,0.09
0.037104,3.68,0.09
0.039105,3.68,0.09
0.041125,3.68,0.09
0.043254,3.68,0.09
0.045235,3.65,0.09
0.047178,3.65,0.09
0.049146,3.65,0.09
0.051155,3.65,0.09
0.053105,3.65,0.1
0.055049,3.65,0.1
0.057039,3.62,0.1
0.059057,3.62,0.09
0.061022,3.62,0.09
0.063565,3.62,0.1
0.066124,3.62,0.1
0.068556,3.62,0.1
0.072328,3.62,0.1
0.074888,3.62,0.1
0.077369,3.62,0.1
0.081172,3.62,0.1
0.083793,3.58,0.1
0.087505,3.58,0.1
0.090064,3.58,0.1
0.092545,3.58,0.1
0.096378,3.58,0.11
0.098913,3.58,0.11
0.102625,3.58,0.11
0.105149,3.55,0.11
0.107658,3.55,0.11
0.111451,3.55,0.11
0.114076,3.55,0.11
0.116495,3.53,0.11
0.12032,3.55,0.11
0.122935,3.53,0.11
0.127154,3.53,0.11
0.129582,3.53,0.12
0.131694,3.53,0.11
0.135419,3.5,0.12
0.138098,3.5,0.12
0.140715,3.5,0.12
0.144367,3.47,0.12
0.147043,3.47,0.12
0.150578,3.47,0.12
0.153192,3.43,0.12
0.155776,3.43,0.13
0.159423,3.43,0.13
0.162054,3.4,0.13
0.164807,3.4,0.13
0.168331,3.4,0.13
0.171149,3.4,0.14
0.17484,3.4,0.14
0.177337,3.4,0.14
0.179744,3.4,0.14
0.183461,3.37,0.14
0.186247,3.37,0.15
0.18845,3.37,0.15
0.192311,3.35,0.15
0.194921,3.35,0.15
0.198552,3.35,0.15
0.201173,3.31,0.15
0.203665,3.31,0.16
0.20747,3.31,0.16
0.210076,3.31,0.16
0.213596,3.31,0.16
0.216204,3.31,0.17
0.218851,3.31,0.17
0.222449,3.31,0.17
0.225186,3.28,0.18
0.227564,3.28,0.18
0.231299,3.28,0.18
0.234029,3.28,0.18
0.237619,3.28,0.18
0.240246,3.28,0.19
0.242762,3.28,0.19
0.246452,3.28,0.19
0.249009,3.25,0.19
0.251475,3.25,0.19
0.25526,3.28,0.2
0.257873,3.25,0.2
0.261592,3.28,0.2
0.264098,3.25,0.2
0.266665,3.28,0.2
0.270477,3.28,0.21
0.273029,3.25,0.21
0.275573,3.25,0.21
0.279269,3.25,0.21
0.281834,3.25,0.21
0.285591,3.25,0.21
0.288081,3.25,0.22
0.290621,3.25,0.23
0.29446,3.28,0.22
0.296864,3.28,0.23
0.300681,3.28,0.23
0.30321,3.28,0.23
0.305749,3.25,0.23
0.309471,3.25,0.24
0.311964,3.25,0.24
0.314455,3.25,0.25
0.31828,3.28,0.24
0.320817,3.28,0.24
0.324731,3.28,0.25
0.327134,3.31,0.24
0.329606,3.28,0.25
0.333383,3.28,0.26
0.335929,3.31,0.25
0.338419,3.31,0.26
0.342097,3.28,0.26
0.3446,3.31,0.26
0.348395,3.28,0.26
0.350925,3.31,0.27
0.353395,3.31,0.27
0.357169,3.35,0.26
0.359713,3.37,0.27
0.363508,3.35,0.27
0.365913,3.37,0.27
0.368491,3.37,0.27
0.372263,3.37,0.27
0.374864,3.4,0.28
0.378562,3.4,0.27
0.381096,3.43,0.28
0.383625,3.4,0.28
0.387387,3.47,0.28
0.389877,3.47,0.28
0.393666,3.47,0.29
0.396196,3.47,0.29
0.398733,3.47,0.29
0.402492,3.47,0.29
0.405009,3.5,0.28
0.407632,3.47,0.28
0.411285,3.5,0.29
0.413703,3.5,0.29
0.417478,3.47,0.29
0.420026,3.47,0.29
0.422565,3.5,0.3
0.426215,3.5,0.29
0.428714,3.5,0.29
0.432511,3.53,0.3
0.435072,3.5,0.29
0.437526,3.5,0.3
0.441387,3.5,0.3
0.443833,3.53,0.3
0.447687,3.53,0.31
0.450109,3.53,0.3
0.452626,3.53,0.29
0.456497,3.53,0.3
0.458947,3.53,0.3
0.461461,3.53,0.3
0.465229,3.58,0.31
0.467731,3.53,0.3
0.471655,3.55,0.31
0.474111,3.55,0.3
0.476681,3.58,0.31
0.480462,3.58,0.31
0.482919,3.58,0.3
0.485425,3.58,0.3
0.489214,3.55,0.31
0.491763,3.55,0.31
0.495554,3.55,0.3
0.498012,3.55,0.32
0.500538,3.53,0.31
0.50438,3.53,0.3
0.50687,3.55,0.31
0.510633,3.55,0.31
0.513117,3.55,0.31
0.515635,3.55,0.31
0.519488,3.58,0.32
0.521953,3.58,0.32
0.524488,3.55,0.32
0.528185,3.55,0.32
0.530641,3.55,0.32
0.534453,3.53,0.31
0.536927,3.55,0.33
0.539429,3.58,0.33
0.543239,3.58,0.33
0.545726,3.58,0.32
0.549541,3.58,0.32
0.552025,3.58,0.32
0.554525,3.62,0.31
0.558333,3.58,0.32
0.560833,3.62,0.33
0.564676,3.58,0.33
0.567131,3.55,0.33
0.569612,3.58,0.33
0.573487,3.58,0.32
0.575955,3.58,0.33
0.57848,3.58,0.32
0.58229,3.58,0.32
0.584754,3.58,0.33
0.58854,3.58,0.33
0.591047,3.58,0.32
0.593523,3.55,0.33
0.597349,3.58,0.32
0.599868,3.58,0.31
0.603617,3.53,0.33
0.606111,3.55,0.34
0.608815,3.55,0.33
0.612407,3.58,0.33
0.615018,3.55,0.35
0.617531,3.62,0.34
0.62123,3.58,0.34
0.624026,3.62,0.34
0.627483,3.58,0.35
0.630011,3.62,0.34
0.632681,3.58,0.33
0.636271,3.58,0.36
0.638978,3.58,0.34
0.642621,3.55,0.35
0.645161,3.58,0.37
0.647897,3.58,0.34
0.651366,3.55,0.35
0.653904,3.55,0.35
0.657807,3.55,0.31
0.660107,3.55,0.35
0.662852,3.58,0.32
0.666487,3.58,0.37
0.66908,3.58,0.39
0.6717,3.58,0.38
0.675341,3.58,0.4
0.677883,3.58,0.4
0.681596,3.58,0.39
0.684081,3.58,0.41
0.686822,3.55,0.4
0.690525,3.58,0.41
0.693007,3.55,0.37
0.695668,3.53,0.38
0.699143,3.55,0.38
0.701651,3.53,0.4
0.7055,3.55,0.42
0.708058,3.53,0.41
0.711711,3.53,0.41
0.714187,3.53,0.41
0.71676,3.53,0.41
0.720482,3.5,0.41
0.723013,3.53,0.4
0.7256,3.53,0.39
0.729339,3.5,0.44
0.731848,3.53,0.45
0.735663,3.55,0.4
0.738148,3.58,0.42
0.740681,3.55,0.45
0.744472,3.55,0.38
0.746972,3.55,0.43
0.749484,3.55,0.46
0.753252,3.55,0.43
0.755778,3.58,0.47
0.759585,3.53,0.44
0.76211,3.58,0.45
0.764594,3.55,0.44
0.768389,3.55,0.47
0.770922,3.58,0.43
0.773427,3.58,0.46
0.777234,3.58,0.41
0.779759,3.55,0.45
0.783565,3.55,0.41
0.786043,3.58,0.41
0.788573,3.58,0.43
0.792335,3.55,0.41
0.794861,3.55,0.45
0.79738,3.55,0.43
0.801136,3.58,0.44
0.803655,3.55,0.46
0.807447,3.62,0.45
0.809971,3.62,0.47
0.812491,3.55,0.46
0.816247,3.55,0.44
0.818757,3.55,0.47
0.822574,3.58,0.45
0.825059,3.58,0.46
0.828672,3.62,0.46
0.831141,3.65,0.49
0.833657,3.58,0.45
0.837409,3.58,0.48
0.839923,3.58,0.49
0.842425,3.58,0.44
0.846224,3.58,0.46
0.848747,3.62,0.46
0.852524,3.62,0.45
0.855019,3.62,0.46
0.857532,3.62,0.47
0.861324,3.62,0.47
0.863844,3.62,0.46
0.867606,3.58,0.46
0.870095,3.62,0.48
0.872609,3.65,0.48
0.876396,3.65,0.49
0.878962,3.65,0.49
0.881475,3.65,0.45
0.885234,3.62,0.47
0.887746,3.62,0.48
0.891544,3.62,0.45
0.894057,3.65,0.48
0.896602,3.68,0.47
0.900304,3.65,0.45
0.902805,3.58,0.48
0.906617,3.62,0.47
0.909083,3.68,0.46
0.911782,3.71,0.48
0.915418,3.65,0.5
0.917928,3.65,0.5
0.920426,3.68,0.49
0.924229,3.65,0.48
0.926713,3.68,0.47
0.930566,3.62,0.46
0.933061,3.65,0.51
0.935585,3.65,0.47
0.93941,3.65,0.45
0.941871,3.62,0.48
0.944394,3.58,0.48
0.948161,3.58,0.48
0.950685,3.58,0.47
0.954463,3.62,0.5
0.956992,3.58,0.49
0.959507,3.65,0.48
0.963282,3.62,0.48
0.965792,3.58,0.49
0.969611,3.58,0.49
0.972138,3.65,0.45
0.974489,3.58,0.47
0.978199,3.65,0.48
0.98077,3.65,0.46
0.984565,3.68,0.5
