Time [s],PD1,PD2,PD3,PD4,PD1_9,PD2_9,PD3_9,PD4_9
0,2.23652,2.37188,2.45244,0.42861,0.93457,0.97324,0.97969,0.58652
0.004,2.23652,2.38477,2.47178,0.42861,0.9249,0.97646,0.98291,0.58652
0.008,2.22363,2.39121,2.47178,0.42861,0.91846,0.97002,0.98291,0.58652
0.012,2.21074,2.39121,2.46855,0.42861,0.90879,0.9668,0.98291,0.58652
0.016,2.23008,2.35898,2.475,0.42861,0.93457,0.95713,0.97969,0.58652
0.02,2.23975,2.39443,2.46855,0.42861,0.93457,0.97324,0.98291,0.58652
0.024,2.23652,2.38154,2.475,0.42861,0.93135,0.97324,0.98291,0.58652
0.028,2.2333,2.3751,2.475,0.43184,0.92813,0.97324,0.98291,0.58652
0.032,2.23652,2.37188,2.475,0.43184,0.9249,0.96357,0.98291,0.58652
0.036,2.23975,2.35576,2.475,0.42861,0.93779,0.95391,0.98291,0.58652
0.04,2.24941,2.37832,2.47822,0.43184,0.93779,0.97969,0.98613,0.58652
0.044,2.24297,2.39443,2.48145,0.43184,0.93779,0.97969,0.98936,0.58652
0.048,2.24297,2.38799,2.47822,0.43184,0.93457,0.97969,0.98613,0.58975
0.052,2.24297,2.38154,2.47822,0.42861,0.93457,0.98291,0.98936,0.58652
0.056,2.24297,2.41699,2.49434,0.43184,0.93457,0.97969,0.98936,0.58975
0.06,2.24297,2.38477,2.48145,0.43184,0.93457,0.97969,0.98936,0.58652
0.064,2.24619,2.38154,2.48467,0.43184,0.93135,0.97646,0.98936,0.58652
0.068,2.24619,2.3751,2.48145,0.43184,0.93135,0.97002,0.98936,0.58975
0.072,2.24941,2.39443,2.46533,0.43184,0.94102,0.98291,0.98936,0.58652
0.076,2.25264,2.40088,2.48467,0.43184,0.94746,0.98613,0.99258,0.58975
0.08,2.25908,2.38477,2.48467,0.43184,0.94746,0.98291,0.99258,0.58975
0.084,2.25586,2.38799,2.48467,0.43184,0.94424,0.99258,0.99258,0.58975
0.088,2.24941,2.39766,2.48789,0.43184,0.93779,0.98291,0.99258,0.58975
0.092,2.24619,2.39121,2.48789,0.43184,0.93135,0.98613,0.99258,0.58975
0.096,2.24297,2.38477,2.48467,0.43184,0.93135,0.97646,0.99258,0.58975
0.1,2.24297,2.3751,2.48467,0.43184,0.94102,0.9668,0.98936,0.58975
0.104,2.24297,2.36865,2.48467,0.43184,0.94102,0.9668,0.98936,0.58652
0.108,2.24619,2.39766,2.48145,0.43184,0.93779,0.98291,0.99258,0.58652
0.112,2.24619,2.39766,2.48467,0.43184,0.94424,0.98291,0.9958,0.59297
0.116,2.24941,2.38477,2.48789,0.43184,0.94102,0.98291,0.99258,0.58975
0.12,2.24619,2.38154,2.48789,0.43184,0.93779,0.99902,0.9958,0.58975
0.124,2.24619,2.40088,2.48145,0.43184,0.93457,0.98291,0.99258,0.58975
0.128,2.24297,2.38799,2.48467,0.43184,0.93135,0.98291,0.99258,0.58975
0.132,2.24297,2.3751,2.48789,0.43184,0.92813,0.98291,0.9958,0.58975
0.136,2.23008,2.40732,2.48145,0.43506,0.92168,0.98291,0.9958,0.58975
0.14,2.22363,2.40732,2.48467,0.43506,0.91523,0.97646,0.9958,0.58975
0.144,2.24941,2.37188,2.48789,0.43184,0.94424,0.9668,0.99258,0.58975
0.148,2.24941,2.36543,2.49111,0.43506,0.94746,0.98613,0.99258,0.58975
0.152,2.25586,2.40088,2.47178,0.43506,0.94424,0.98936,0.99258,0.58975
0.156,2.25586,2.4041,2.48789,0.43506,0.94424,0.98936,0.99902,0.58975
0.16,2.25586,2.40732,2.49111,0.43506,0.94102,0.98936,0.99902,0.59297
0.164,2.25908,2.39766,2.49434,0.43506,0.94102,0.99258,0.99902,0.59297
