Time [s],PD1,PD2,PD3,PD4,PD1_9,PD2_9,PD3_9,PD4_9
0,2.22041,1.80791,1.41475,0.27715,0.92168,0.80889,0.61875,0.39639
0.004,2.23975,1.80146,1.4083,0.27715,0.93135,0.796,0.61553,0.39639
0.008,2.24941,1.80791,1.4083,0.28037,0.92813,0.80889,0.61875,0.39639
0.012,2.23975,1.80791,1.40508,0.27715,0.92168,0.80566,0.61553,0.39639
0.016,2.24941,1.79824,1.39541,0.27715,0.92813,0.80244,0.61553,0.39639
0.02,2.22686,1.79502,1.39219,0.27715,0.91846,0.796,0.6123,0.39639
0.024,2.23652,1.78213,1.39219,0.27715,0.93135,0.80244,0.6123,0.39639
0.028,2.24619,1.7918,1.38896,0.27715,0.9249,0.79922,0.6123,0.39639
0.032,2.23975,1.78857,1.38252,0.27715,0.93135,0.79277,0.60908,0.39639
0.036,2.23975,1.78857,1.36963,0.27715,0.9249,0.80244,0.60908,0.39639
0.04,2.23975,1.78857,1.3793,0.27715,0.91846,0.796,0.60586,0.39639
0.044,2.23652,1.76924,1.37607,0.27715,0.93135,0.79922,0.60908,0.39639
0.048,2.24619,1.77568,1.37285,0.27393,0.9249,0.796,0.60586,0.39639
0.052,2.19463,1.76924,1.36641,0.27715,0.92813,0.796,0.60264,0.39316
0.056,2.23975,1.77246,1.36963,0.27715,0.92168,0.79277,0.60586,0.39639
0.06,2.21719,1.76602,1.36641,0.27715,0.89268,0.78955,0.60586,0.39639
0.064,2.24297,1.76279,1.35996,0.27715,0.92813,0.796,0.60264,0.39639
0.068,2.23652,1.76279,1.36318,0.27715,0.90879,0.79277,0.60264,0.39639
0.072,2.23652,1.77891,1.36641,0.27715,0.91846,0.78955,0.60264,0.39961
0.076,2.23652,1.7499,1.35996,0.27715,0.93135,0.79277,0.60264,0.39639
0.08,2.24297,1.75635,1.35996,0.27715,0.92168,0.78955,0.60264,0.39639
0.084,2.21719,1.75635,1.35674,0.27715,0.90234,0.78955,0.59941,0.39639
0.088,2.23652,1.74346,1.35674,0.27715,0.93135,0.79277,0.59941,0.39961
0.092,2.24619,1.75312,1.35352,0.27715,0.92813,0.79277,0.59941,0.39316
0.096,2.23975,1.75312,1.35029,0.27715,0.92168,0.79277,0.59619,0.39961
0.1,2.23652,1.74346,1.34707,0.27715,0.93135,0.79277,0.59941,0.39639
0.104,2.23652,1.74668,1.34707,0.27715,0.92813,0.77988,0.59619,0.39961
0.108,2.23652,1.74346,1.34707,0.27715,0.91201,0.78633,0.59619,0.39639
0.112,2.21074,1.74346,1.34707,0.27715,0.88945,0.78311,0.59619,0.39639
0.116,2.24297,1.74023,1.3374,0.27715,0.9249,0.78955,0.59941,0.39639
0.12,2.23652,1.74668,1.34707,0.27715,0.92168,0.78955,0.59941,0.39961
0.124,2.23975,1.74023,1.3374,0.27715,0.9249,0.78955,0.59619,0.39961
0.128,2.23652,1.74346,1.34707,0.28037,0.92168,0.78955,0.59941,0.39639
0.132,2.22041,1.74023,1.34385,0.27715,0.89912,0.78311,0.59297,0.39639
0.136,2.19463,1.74023,1.34385,0.27715,0.92813,0.78311,0.59619,0.39961
0.14,2.2333,1.73057,1.34707,0.27715,0.92813,0.78955,0.59941,0.39961
0.144,2.21719,1.74346,1.34707,0.27715,0.88945,0.78311,0.59619,0.39961
0.148,2.23975,1.74023,1.34385,0.27715,0.9249,0.77988,0.59619,0.39961
0.152,2.24619,1.74346,1.34385,0.27715,0.9249,0.78955,0.59941,0.39961
0.156,2.22686,1.73701,1.34063,0.27715,0.90234,0.78633,0.59619,0.39639
0.16,2.23652,1.72734,1.34063,0.27715,0.92813,0.78955,0.59619,0.39639
0.164,2.24297,1.73701,1.34063,0.27715,0.9249,0.78955,0.59619,0.39961
0.168,2.23652,1.73701,1.34063,0.27715,0.91523,0.78311,0.59619,0.39961
0.172,2.23652,1.72412,1.3374,0.27393,0.93135,0.78955,0.59941,0.39961
0.176,2.24297,1.73379,1.3374,0.27715,0.91846,0.78311,0.59619,0.39639
0.18,2.23975,1.72412,1.32773,0.27715,0.9249,0.78955,0.59619,0.39961
0.184,2.23652,1.73057,1.3374,0.27715,0.88945,0.77988,0.59619,0.39639
0.188,2.23975,1.72412,1.32773,0.27715,0.9249,0.78955,0.59619,0.39961
0.192,2.23652,1.73057,1.3374,0.27715,0.91846,0.78633,0.59619,0.39961
0.196,2.19785,1.72412,1.34063,0.27715,0.92813,0.78633,0.59619,0.39639
0.2,2.23975,1.73057,1.34063,0.27715,0.91201,0.78633,0.59619,0.39961
