Time [s],PD1,PD2,PD3,PD4,PD1_9,PD2_9,PD3_9,PD4_9
0,1.56621,1.48242,2.12695,0.29004,0.58652,0.61553,0.7541,0.45117
0.004,1.56621,1.47275,2.12695,0.29004,0.58975,0.60586,0.75088,0.45117
0.008,1.56621,1.46953,2.13018,0.29004,0.58652,0.6123,0.7541,0.45117
0.012,1.56621,1.4792,2.12695,0.29004,0.58652,0.6123,0.7541,0.45117
0.016,1.56299,1.47598,2.12695,0.29326,0.5833,0.6123,0.7541,0.45117
0.02,1.56299,1.47275,2.12695,0.29326,0.5833,0.60908,0.7541,0.45117
0.024,1.55977,1.48887,2.13662,0.29004,0.58008,0.60908,0.75088,0.45117
0.028,1.55977,1.46631,2.12695,0.29004,0.58008,0.60264,0.75088,0.44795
0.032,1.55977,1.46631,2.12695,0.29004,0.58652,0.60264,0.75088,0.45117
0.036,1.55977,1.45986,2.12695,0.29004,0.58652,0.59941,0.75088,0.45117
0.04,1.56299,1.46953,2.12695,0.29004,0.58652,0.60908,0.7541,0.45117
0.044,1.56299,1.46953,2.12695,0.29004,0.58008,0.60908,0.7541,0.45117
0.048,1.55654,1.47275,2.12695,0.29004,0.58008,0.6123,0.7541,0.45117
0.052,1.55654,1.46953,2.12695,0.29004,0.58008,0.60908,0.7541,0.45117
0.056,1.55332,1.46631,2.12695,0.29004,0.57686,0.60908,0.7541,0.44795
0.06,1.55332,1.48564,2.1334,0.29004,0.58008,0.6123,0.7541,0.45117
0.064,1.55654,1.46953,2.12695,0.29004,0.58008,0.60586,0.7541,0.45117
0.068,1.55654,1.46631,2.13018,0.29004,0.5833,0.60264,0.75088,0.45117
0.072,1.55332,1.46309,2.13018,0.29326,0.5833,0.60264,0.75088,0.45117
0.076,1.54688,1.46631,2.12695,0.29004,0.57363,0.60586,0.7541,0.44795
0.08,1.55654,1.46631,2.12051,0.29004,0.58008,0.60908,0.7541,0.45117
0.084,1.55332,1.46309,2.13018,0.29004,0.57686,0.60264,0.75088,0.45117
0.088,1.55332,1.46309,2.12695,0.29004,0.5833,0.60264,0.7541,0.45117
0.092,1.55654,1.46309,2.12051,0.29004,0.5833,0.60908,0.75088,0.45117
0.096,1.55332,1.46309,2.11406,0.29004,0.5833,0.60908,0.7541,0.44795
0.1,1.55332,1.46631,2.12373,0.29004,0.58008,0.60908,0.7541,0.45117
0.104,1.5501,1.46953,2.12695,0.29004,0.58008,0.60908,0.7541,0.45117
0.108,1.5501,1.46631,2.12695,0.29004,0.58008,0.60908,0.7541,0.45117
0.112,1.5501,1.45664,2.11729,0.29004,0.5833,0.60908,0.75088,0.44795
0.116,1.5501,1.45664,2.11406,0.29004,0.5833,0.59941,0.75088,0.45117
0.12,1.54688,1.44053,2.12373,0.29004,0.5833,0.60586,0.7541,0.45117
0.124,1.5501,1.45342,2.12051,0.29004,0.57041,0.61553,0.7541,0.45117
0.128,1.53398,1.4502,2.12051,0.29004,0.58008,0.60586,0.7541,0.44795
0.132,1.54365,1.4502,2.11406,0.29004,0.58008,0.60586,0.75088,0.44795
0.136,1.54365,1.45664,2.12373,0.29004,0.58008,0.60586,0.7541,0.45117
0.14,1.54688,1.45342,2.12695,0.29326,0.5833,0.60586,0.7541,0.45117
0.144,1.54688,1.4502,2.12373,0.29004,0.57686,0.60586,0.7541,0.45117
0.148,1.54043,1.45342,2.12373,0.29004,0.57686,0.60586,0.75088,0.45117
0.152,1.53721,1.4502,2.12373,0.29004,0.57041,0.60264,0.7541,0.45117
0.156,1.53398,1.44697,2.12051,0.29004,0.57041,0.59941,0.75088,0.45117
0.16,1.52754,1.44375,2.12051,0.29004,0.57041,0.59941,0.75088,0.45117
0.164,1.53721,1.44053,2.11729,0.29004,0.57686,0.60264,0.75088,0.45117
0.168,1.53398,1.44053,2.11084,0.29004,0.57686,0.60264,0.75088,0.44795
0.172,1.53398,1.44375,2.11729,0.29004,0.57363,0.59941,0.75088,0.45117
0.176,1.52754,1.4373,2.11729,0.29004,0.57041,0.59941,0.75088,0.45117
0.18,1.52754,1.43408,2.12051,0.29004,0.56719,0.59941,0.75088,0.45117
0.184,1.52754,1.4373,2.12051,0.29004,0.56719,0.59619,0.75088,0.45117
0.188,1.52754,1.44375,2.11729,0.29004,0.57363,0.59941,0.75088,0.44795
0.192,1.52432,1.43086,2.11084,0.29004,0.57363,0.59941,0.75088,0.44795
0.196,1.52432,1.43086,2.11084,0.29004,0.57363,0.60264,0.75088,0.44795
0.2,1.52432,1.43408,2.12051,0.29004,0.57041,0.59941,0.75088,0.44795
0.204,1.52432,1.42764,2.12051,0.29004,0.57041,0.59941,0.75088,0.45117
0.208,1.52432,1.42764,2.11729,0.29004,0.57041,0.59941,0.75088,0.44795
0.212,1.52109,1.43086,2.12051,0.29004,0.57041,0.59941,0.75088,0.45117
0.216,1.51787,1.43086,2.12051,0.29004,0.56396,0.59941,0.75088,0.45117
0.22,1.51787,1.42764,2.11729,0.29004,0.56719,0.59619,0.75088,0.45117
0.224,1.51787,1.43086,2.11729,0.29004,0.56719,0.59941,0.75088,0.45117
0.228,1.51465,1.42764,2.11406,0.29004,0.56396,0.59297,0.75088,0.45117
0.232,1.51465,1.42119,2.11729,0.29004,0.57041,0.58975,0.74766,0.45117
0.236,1.51465,1.41797,2.11406,0.29004,0.57041,0.58975,0.74766,0.45117
0.24,1.51465,1.42764,2.11406,0.29004,0.56719,0.59941,0.75088,0.45117
0.244,1.51465,1.42764,2.11406,0.29004,0.57041,0.59619,0.75088,0.44795
0.248,1.51465,1.42441,2.11406,0.29004,0.56719,0.59619,0.75088,0.45117
0.252,1.5082,1.42441,2.11406,0.29004,0.57041,0.59941,0.74766,0.44795
0.256,1.51143,1.42119,2.11729,0.29004,0.57041,0.58975,0.74766,0.45117
0.26,1.5082,1.41152,2.11729,0.29004,0.57041,0.59941,0.75088,0.45117
0.264,1.51143,1.42441,2.11406,0.29004,0.56719,0.59941,0.75088,0.44795
0.268,1.51143,1.42764,2.11406,0.29004,0.56719,0.59619,0.75088,0.45117
0.272,1.5082,1.42441,2.11406,0.29004,0.56719,0.59619,0.74766,0.45117
0.276,1.50498,1.42119,2.11406,0.29004,0.55752,0.59297,0.75088,0.44795
0.28,1.50498,1.41797,2.11406,0.29004,0.56396,0.59619,0.75088,0.45117
0.284,1.50176,1.42119,2.11084,0.29004,0.56396,0.59619,0.74766,0.44795
0.288,1.50498,1.42441,2.11084,0.29004,0.56074,0.59297,0.75088,0.45117
0.292,1.49531,1.41797,2.11406,0.29004,0.55752,0.59297,0.74766,0.44795
0.296,1.50498,1.41475,2.10117,0.29004,0.56719,0.59619,0.74766,0.44795
0.3,1.50498,1.41475,2.10117,0.29004,0.56396,0.59297,0.75088,0.44795
0.304,1.5082,1.41475,2.11084,0.29004,0.56396,0.59297,0.74766,0.45117
0.308,1.50498,1.41475,2.10762,0.29004,0.56074,0.59297,0.74766,0.45117
0.312,1.50498,1.41797,2.10762,0.29004,0.56074,0.59619,0.74766,0.44795
0.316,1.50498,1.42441,2.10762,0.29004,0.55752,0.59297,0.75088,0.44795
0.32,1.50498,1.41475,2.10117,0.29004,0.56719,0.59619,0.74766,0.44795
0.324,1.50498,1.41475,2.09795,0.29004,0.56719,0.59619,0.74766,0.44473
0.328,1.50498,1.41475,2.09795,0.29004,0.56396,0.59619,0.75088,0.44795
0.332,1.5082,1.42119,2.11084,0.29004,0.56396,0.59619,0.74766,0.44795
0.336,1.50498,1.42119,2.10762,0.29004,0.56074,0.59297,0.74766,0.44795
0.34,1.49854,1.41475,2.10762,0.29004,0.56074,0.58975,0.74766,0.44795
0.344,1.49531,1.41475,2.10762,0.29004,0.55752,0.58975,0.74766,0.44795
0.348,1.50176,1.41152,2.10439,0.29004,0.56719,0.58652,0.74443,0.44795
0.352,1.49531,1.41475,2.10762,0.29004,0.56074,0.58975,0.74766,0.44795
0.356,1.49531,1.41797,2.10439,0.28682,0.56719,0.59619,0.74766,0.44795
0.36,1.5082,1.41475,2.09795,0.29004,0.56719,0.59619,0.74766,0.44795
0.364,1.5082,1.41475,2.09795,0.29004,0.56719,0.59619,0.74766,0.44795
0.368,1.51143,1.41797,2.10762,0.28682,0.56719,0.59619,0.74766,0.44795
0.372,1.51143,1.41797,2.11084,0.29004,0.56719,0.59619,0.74766,0.44795
0.376,1.50498,1.41797,2.09795,0.29004,0.56396,0.59619,0.74766,0.44795
0.38,1.50498,1.42119,2.10762,0.29004,0.56396,0.59619,0.74766,0.44795
0.384,1.5082,1.41797,2.10117,0.29004,0.56719,0.59619,0.74766,0.44795
0.388,1.50498,1.41797,2.09795,0.29004,0.56719,0.59619,0.74766,0.44795
0.392,1.5082,1.42119,2.10762,0.29004,0.56719,0.59619,0.74766,0.44795
0.396,1.5082,1.42441,2.10762,0.29004,0.56396,0.59619,0.74766,0.44795
0.4,1.5082,1.42764,2.10762,0.29004,0.56396,0.59619,0.74766,0.44795
